concurrent version system,2010,"Matthias Mller-Hannemann, Stefan Schirra",Challenges in Algorithm Engineering.
concurrent version system,2010,"Heiner Ackermann, Heiko Rglin, Ulf Schellbach, Nils Schweer",Analysis of Algorithms.
concurrent version system,2010,"Daniel Delling, Roberto Hoffmann, Maria Kandyba, Anna Schulze",Case Studies.
concurrent version system,2010,"Markus Geyer, Benjamin Hiller, Sascha Meinert",Modeling.
concurrent version system,2010,"Marc Mrig, Sven Scholz, Tobias Tscheuschner, Eric Berberich",Implementation Aspects.
concurrent version system,2010,"Roman Dementiev, Johannes Singler",Libraries.
s-expression,1987,Christian Holzbaur,Synthesis of Hybrid Languages.
pixels per inch,1996,Jonathan J. Hull,Document Image skew Detection: Survey and Annotated Bibliography.
internet protocol,1997,J. C. Davis,Intellectual property in cyberspace-what technological/legislative tools are necessary for building a sturdy global information infrastructure?
internet protocol,1997,Douglas W. Gage,Network protocols for mobile robot systems.
data mining,1997,"Emin Aleskerov, Bernd Freisleben, Bharat Rao",CARDWATCH: a neural network based database mining system for credit card fraud detection.
data mining,1997,"Johannes Frnkranz, Johann Petrak, Robert Trappl",Knowledge Discovery in International Conflict Databases.
data mining,1997,"Drew D. Saur, Yap-Peng Tan, Sanjeev R. Kulkarni, Peter J. Ramadge",Automated Analysis and Annotation of Basketball Video.
data mining,1997,Gary Sabot,Computational modeling of 1994 A.M. Best life/health insurer ratings.
data mining,1997,"R. Goodale, P. Telesio","The future of electronic commerce: implications for businesses, governments and societies."
data mining,1997,"Vassilis Moustakis, Jrgen Herrmann",Where Do Machine Learning and Human-Computer Interaction Meet?
nda,1975,Warren D. Goldfarb,On the effective Ï-rule.
nda,1975,"Petr Vopenka, Antonn Sochor",Contributions to the theory of semisets V: On the axiom of general collapse.
nda,1975,Louise Hay,Spectra and halting problems.
nda,1975,S. K. Thomason,The logical consequence relation of propositional tense logic.
nda,1975,"Marian Boykan Pour-El, Jerome Caldwell",On a simple definition of computable function of a real variable-with applications to functions of a complex variable.
nda,1975,John Lake,Comparing type theory and set theory.
nda,1975,"V. Wiktor Marek, M. Srebrny",No minimal transitive model of Z-.
nda,1975,T. G. McLaughlin,A note concerning the V* relation on Îr.
nda,1975,"Claus-Peter Schnorr, G. Stumpf",A characterization of complexity sequences.
nda,1975,"Witold A. Pogorzelski, Tadeusz Prucnal",Structural completeness of the first-order predicate calculus.
nda,1975,Imre Z. Ruzsa,Two variants of the system of entailment.
nda,1975,John W. Rosenthal,Truth in all of certain well-founded countable models arising in set theory.
nda,1975,Charles E. Hughes,Sets derived by deterministic systems with axiom.
nda,1975,Biswambhar Pahi,Jankov-theorems for some implicational calculi.
nda,1975,Ivan Marques,On speedability of recursively enumerable sets.
nda,1975,Alexander Abian,On the standard-model hypothesis of ZF.
nda,1975,Paul D. Humke,The Baire category of sets of access.
nda,1975,Eliot D. Feldman,L-Î£.
nda,1975,Horst Luckhardt,A short proof of a well-known theorem of intuitionistic analysis.
nda,1975,Ronald Fagin,Monadic generalized spectra.
nda,1975,Harvey Friedman,A cumulative hierarchy of predicates.
nda,1975,Antonn Sochor,Contribution to the theory of semisets VI: (Non-existence of the class of all absolute natural numbers).
nda,1975,Charles E. Hughes,Triadic partial implicational propositional calculi.
nda,1975,Ronald Fagin,A two-cardinal characterization of double spectra.
nda,1975,Bernd J. Stephan,Compactness and recursive enumerability in intensional logic.
