,tag,year,authors,title
139,algorithm,1975,Charles E. Hughes,Sets derived by deterministic systems with axiom.
144,algorithm,1975,"Claus-Peter Schnorr, G. Stumpf",A characterization of complexity sequences.
141,algorithm,1975,Eliot D. Feldman,L-Î£.
140,algorithm,1975,Ivan Marques,On speedability of recursively enumerable sets.
143,algorithm,1975,J. V. Howard,Computable explanations.
145,algorithm,1975,Louise Hay,Spectra and halting problems.
142,algorithm,1975,Ronald Fagin,A spectrum hierarchy.
58,application programming interface,1991,Yoshiaki Mima,A Visual Programming Environment for Programming by Example Abstraction.
61,artificial intelligence,1982,"George Weaver, Raymond D. Gumb",First Order Properties of Relations with the Monotonic Closure Property.
64,b-tree,1989,James O. Henriksen,Alternative modeling perspectives: finding the creative spark.
63,b-tree,1989,Tom Altman,Solving the JIGSAW puzzle problem in linear time.
284,batch processing,1977,Bernard J. Schroer,Economical aspects of a data management system.
285,batch processing,1977,"K. Y. Chiu, J. F. Wall",Online inventory analysis models and system.
283,batch processing,1977,Robert B. Clark,An integrated planning system in the complex product development and manufacturing environment.
52,big data,2004,"Gerard Lods, Philippe Gouze","WTFM, software for well test analysis in fractured media combining fractional flow with double porosity and leakance approaches."
53,big data,2004,"Shmuel Moradoff, Dani Lischinski",Constrained synthesis of textural motion for articulated characters.
246,blockchain,2005,Goichiro Hanaoka,Unconditionally secure signatures and its related schemes.
295,bulk loading,2004,"Pat McNally, Cathal Heavey",Developing simulation as a desktop resource.
84,c++,1980,"M. Salim, B. E. Maden",Nucleotide sequence encoding the 5' end of Xenopus laevis 18S rRNA.
291,chuck norris,2009,"Daniel Cuadrado, Yago Sez",Chuck Norris rocks!
279,cloud computing,2008,Divyakant Agrawal,The Reality of Real-Time Business Intelligence.
280,cloud computing,2008,Mladen A. Vouk,"Cloud computing - Issues, research and implementations."
269,common gateway interface,1997,"Ronald Schrooten, Walter Van de Velde",Software Agent Foundation for Dynamic Interactive Electronic Catalogs.
304,compiler,1976,A. Alan B. Pritsker,Three simulation approaches to queueing studies using GASP IV.
303,compiler,1976,"Herbert R. Ludwig, Joel M. Noe, Robert A. Chase",Interactive data analysis.
2,concurrent version system,2010,"Daniel Delling, Roberto Hoffmann, Maria Kandyba, Anna Schulze",Case Studies.
1,concurrent version system,2010,"Heiner Ackermann, Heiko Rglin, Ulf Schellbach, Nils Schweer",Analysis of Algorithms.
4,concurrent version system,2010,"Marc Mrig, Sven Scholz, Tobias Tscheuschner, Eric Berberich",Implementation Aspects.
3,concurrent version system,2010,"Markus Geyer, Benjamin Hiller, Sascha Meinert",Modeling.
0,concurrent version system,2010,"Matthias Mller-Hannemann, Stefan Schirra",Challenges in Algorithm Engineering.
5,concurrent version system,2010,"Roman Dementiev, Johannes Singler",Libraries.
180,cross-platform,1993,"A. Santos, B. Trisch",Using Multimedia to Support Cooperative Editing.
12,data mining,1997,"Drew D. Saur, Yap-Peng Tan, Sanjeev R. Kulkarni, Peter J. Ramadge",Automated Analysis and Annotation of Basketball Video.
10,data mining,1997,"Emin Aleskerov, Bernd Freisleben, Bharat Rao",CARDWATCH: a neural network based database mining system for credit card fraud detection.
13,data mining,1997,Gary Sabot,Computational modeling of 1994 A.M. Best life/health insurer ratings.
11,data mining,1997,"Johannes Frnkranz, Johann Petrak, Robert Trappl",Knowledge Discovery in International Conflict Databases.
14,data mining,1997,"R. Goodale, P. Telesio","The future of electronic commerce: implications for businesses, governments and societies."
15,data mining,1997,"Vassilis Moustakis, Jrgen Herrmann",Where Do Machine Learning and Human-Computer Interaction Meet?
155,data science,2005,"Alex Murillo, J. Fernando Vera, Willem J. Heiser",A Permutation-Translation Simulated Annealing Algorithm for L1 and L2 Unidimensional Scaling.
154,data science,2005,"Sunil Movva, Rahul Ramachandran, Xiang Li, Sarita Khaire, Ken Keiser, Helen Conover, Sara J. Graves",Syntactic and semantic metadata integration for science data use.
156,database,1985,Hilbert Levitz,Decidability of some Problems Pertaining to Base 2 Exponential Diophantine Equations.
146,ddos,1994,May C. Abboud,Problem Solving and Program Design: A Pedagogical Approach.
127,debugger,1989,"Alexander Dupuy, Jed Schwartz, Yechiam Yemini, David F. Bacon",NEST: a network simulation & prototyping testbed.
129,debugger,1989,"David T. Sturrock, Claude Dennis Pegden",Introduction to SIMAN.
128,debugger,1989,"Robert C. Crain, Daniel T. Brunner",Extended features of GPSS/H.
306,decision tree,1989,Hua Li,Two-stage strategy for motion parameter estimation in dynamic images.
305,decision tree,1989,"Stephen D. Roberts, Mary Ann Flanigan Wagner",Simulation modeling and analysis with INSIGHT: a tutorial.
123,declarative programming,1989,"Allen L. Ambler, Margaret M. Burnett",Visual languages and the conflict between single assignment and iteration.
56,deep learning,1999,Catherine McLoughlin,Culturally responsive technology use: developing an on-line community of learners.
57,deep learning,1999,Roger Lewis,The Role of Technology in Learning: Managing to Achieve a Vision.
310,deep web,2008,"Damir Juric, Marko Banek, Zoran Skocir",Uncovering the Deep Web: Transferring Relational Database Content and Metadata to OWL Ontologies.
111,devops,2014,"Abdul Rahman Ahlan, Yusri Arshad, Binyamin A. Ajayi",IT Governance in a Malaysian Public Institute of Higher Learning and Intelligent Decision Making Support System Solution.
106,devops,2014,"Alexandra Pomares Quimbaya, Rafael A. Gonzalez, Wilson-Ricardo Bohrquez, Oscar Mauricio Muoz, Olga Milena Garca, Dario Londoo",Improving Decision-Making for Clinical Research and Health Administration.
110,devops,2014,"Ammar Memari, Jorge Marx Gmez",Adaptive Applications: Definition and Usability in IT-based Service Systems Management.
103,devops,2014,"Andrea Janes, Giancarlo Succi",Lean Software Development in Action
107,devops,2014,"Andreas Brunnert, Christian Vgele, Alexandru Danciu, Matthias Pfaff, Manuel Mayer, Helmut Krcmar",Performance Management Work.
102,devops,2014,"C. P. Marin Ortega, C. P. Prez Lorences, Jorge Marx Gmez",Architecture for Business Intelligence Design on the IT Service Management Scope.
104,devops,2014,"Koray Erek, Thorsten Prhl, Rdiger Zarnekow",Managing Cloud Services with IT Service Management Practices.
108,devops,2014,"Manuel Mora, Gloria E. Phillips-Wren, Francisco Cervantes-Prez, Leonardo Garrido, Ovsei Gelman",Improving IT Service Management with Decision-Making Support Systems.
105,devops,2014,"Raul Valverde, Malleswara Talla",DSS Based IT Service Support Process Reengineering Using ITIL: A Case Study.
109,devops,2014,"Roberto Prez Lpez de Castro, Inty Sez Mosquera, Jorge Marx Gmez",Towards Semantic Support for Business Process Integration.
204,distributed computing,1986,"Marta Cialdea, Luis Farias del Cerro",A Modal Herbrand's Property.
136,embedding,1975,Antonn Sochor,Contribution to the theory of semisets VI: (Non-existence of the class of all absolute natural numbers).
138,embedding,1975,"Petr Vopenka, Antonn Sochor",Contributions to the theory of semisets V: On the axiom of general collapse.
137,embedding,1975,"William S. Hatcher, A. Shafaat",Categorical languages for algebraic structures.
289,endianness,2008,"Julien Bringer, Herv Chabanne, Thomas Icart","Cryptanalysis of EC-RAC, a RFID Identification Protocol."
286,endianness,2008,"Masafumi Kusakawa, Harunaga Hiwatari, Tomoyuki Asano, Seiichi Matsuda",Efficient Dynamic Broadcast Encryption and Its Extension to Authenticated Dynamic Broadcast Encryption.
288,endianness,2008,"Raylin Tso, Xun Yi, Xinyi Huang",Efficient and Short Certificateless Signature.
287,endianness,2008,Yu Zhang,An Open Framework for Remote Electronic Elections.
314,entropy,1977,"M. Sadek Eid, Hamed Kamal Eldin",Evaluation of risk in investment alternatives.
165,erp,1975,Alexander Abian,On the standard-model hypothesis of ZF.
